Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
4/2/2025,4:00:00 PM,149.167,149.56,149.147,149.502,7074,0,13
4/2/2025,5:00:00 PM,149.497,149.78,149.495,149.689,8024,0,13
4/2/2025,6:00:00 PM,149.684,150.082,149.626,149.983,7685,0,13
4/2/2025,7:00:00 PM,149.984,150.247,149.948,150.186,6387,0,13
4/2/2025,8:00:00 PM,150.184,150.198,150.059,150.129,5685,0,13
4/2/2025,9:00:00 PM,150.128,150.157,149.915,149.918,6643,0,13
4/2/2025,10:00:00 PM,149.918,150.077,149.912,150.02,6156,0,13
4/2/2025,11:00:00 PM,150.016,150.481,149.203,149.207,8251,0,13
4/3/2025,12:00:00 AM,149.192,149.262,148.622,148.626,1617,0,14
4/3/2025,1:00:00 AM,148.642,148.67,148.152,148.408,6610,0,13
4/3/2025,2:00:00 AM,148.408,148.408,147.677,147.872,8165,0,13
4/3/2025,3:00:00 AM,147.89,148.33,147.687,147.879,9961,0,13
4/3/2025,4:00:00 AM,147.878,148.101,147.536,147.745,7523,0,13
4/3/2025,5:00:00 AM,147.745,147.88,147.518,147.778,5487,0,13
4/3/2025,6:00:00 AM,147.779,147.78,147.111,147.262,4577,0,13
4/3/2025,7:00:00 AM,147.262,147.549,147.198,147.547,4259,0,13
4/3/2025,8:00:00 AM,147.547,147.631,146.961,147.006,5572,0,13
4/3/2025,9:00:00 AM,146.998,147.381,146.812,146.827,8512,0,13
4/3/2025,10:00:00 AM,146.832,147.461,146.798,147.255,6695,0,13
4/3/2025,11:00:00 AM,147.256,147.356,146.677,146.808,5572,0,13
4/3/2025,12:00:00 PM,146.801,146.843,146.295,146.549,5998,0,13
4/3/2025,1:00:00 PM,146.55,146.742,146.252,146.701,6711,0,13
4/3/2025,2:00:00 PM,146.7,146.765,146.014,146.032,6363,0,13
4/3/2025,3:00:00 PM,146.017,146.352,145.745,145.883,8182,0,13
4/3/2025,4:00:00 PM,145.883,146.072,145.517,145.608,10190,0,13
